minute,avg_date,avg_depth,avg_temp,avg_sal
2021-01-15T10:48:00Z,2021-01-15T10:47:55Z,0.27999999999999997,29.361666666666665,33.560756405
2021-01-15T10:49:00Z,2021-01-15T10:48:55Z,0.2748333333333333,29.413333333333334,33.672695275
2021-01-15T10:50:00Z,2021-01-15T10:49:55Z,0.25416666666666665,29.403333333333332,33.665963465000004
2021-01-15T10:51:00Z,2021-01-15T10:50:55Z,0.25766666666666665,29.4,33.63341877166667
2021-01-15T10:52:00Z,2021-01-15T10:51:55Z,0.25216666666666665,29.383333333333333,33.66469314166667
2021-01-15T10:53:00Z,2021-01-15T10:52:55Z,0.2776666666666667,29.405,33.66423256833333
2021-01-15T10:54:00Z,2021-01-15T10:53:55Z,0.25516666666666665,29.42,33.67719271333333
2021-01-15T10:55:00Z,2021-01-15T10:54:55Z,0.24733333333333332,29.401666666666667,33.66657188166667
2021-01-15T10:56:00Z,2021-01-15T10:55:55Z,0.2781666666666667,29.416666666666668,33.64409202666667
2021-01-15T10:57:00Z,2021-01-15T10:56:55Z,0.247,29.391666666666666,33.53984155166667
2021-01-15T10:58:00Z,2021-01-15T10:57:55Z,0.24283333333333335,29.384999999999998,33.560220295
2021-01-15T10:59:00Z,2021-01-15T10:58:55Z,0.25216666666666665,29.428333333333335,33.47317687
2021-01-15T11:00:00Z,2021-01-15T10:59:55Z,0.258,29.42666666666667,33.43327527333334
2021-01-15T11:01:00Z,2021-01-15T11:00:55Z,0.2435,29.384999999999998,33.483363715
2021-01-15T11:02:00Z,2021-01-15T11:01:55Z,0.25316666666666665,29.385,33.44444680666667
2021-01-15T11:03:00Z,2021-01-15T11:02:55Z,0.2678333333333333,29.36,33.58370875333333
2021-01-15T11:04:00Z,2021-01-15T11:03:55Z,0.25,29.295,33.59874920833333
2021-01-15T11:05:00Z,2021-01-15T11:04:55Z,0.25833333333333336,29.243333333333332,33.59910849166667
2021-01-15T11:06:00Z,2021-01-15T11:05:55Z,0.274,29.229999999999997,33.58134364166666
2021-01-15T11:07:00Z,2021-01-15T11:06:55Z,0.28833333333333333,29.213333333333335,33.60006794
2021-01-15T11:08:00Z,2021-01-15T11:07:55Z,0.2921666666666667,29.17666666666667,33.607905028333334
2021-01-15T11:09:00Z,2021-01-15T11:08:55Z,0.2745,29.151666666666667,33.62272313333333
2021-01-15T11:10:00Z,2021-01-15T11:09:55Z,0.2778333333333333,29.118333333333332,33.665163203333336
2021-01-15T11:11:00Z,2021-01-15T11:10:55Z,0.2645,29.105,33.698996081666664
2021-01-15T11:12:00Z,2021-01-15T11:11:55Z,0.263,29.09,33.750953073333335
2021-01-15T11:13:00Z,2021-01-15T11:12:55Z,0.25066666666666665,29.09,33.749884535
2021-01-15T11:14:00Z,2021-01-15T11:13:55Z,0.26266666666666666,29.066666666666666,33.79365614666666
2021-01-15T11:15:00Z,2021-01-15T11:14:55Z,0.25783333333333336,29.055,33.79314854166667
2021-01-15T11:16:00Z,2021-01-15T11:15:55Z,0.259,29.051666666666666,33.791657586666666
2021-01-15T11:17:00Z,2021-01-15T11:16:55Z,0.255,29.03666666666667,33.8082983
2021-01-15T11:18:00Z,2021-01-15T11:17:55Z,0.24666666666666667,29.031666666666666,33.81512710333334
2021-01-15T11:19:00Z,2021-01-15T11:18:55Z,0.2605,28.995,33.84376731
2021-01-15T11:20:00Z,2021-01-15T11:19:55Z,0.2643333333333333,28.981666666666666,33.84395297166667
2021-01-15T11:21:00Z,2021-01-15T11:20:55Z,0.255,28.995,33.855859519999996
2021-01-15T11:22:00Z,2021-01-15T11:21:55Z,0.2685,29.006666666666668,33.83335732333333
2021-01-15T11:23:00Z,2021-01-15T11:22:55Z,0.28533333333333333,28.98,33.83912429
2021-01-15T11:24:00Z,2021-01-15T11:23:55Z,0.27,28.961666666666666,33.85375035333333
2021-01-15T11:25:00Z,2021-01-15T11:24:55Z,0.266,28.926666666666666,33.88242025666667
2021-01-15T11:26:00Z,2021-01-15T11:25:55Z,0.293,28.911666666666665,33.870594151666666
2021-01-15T11:27:00Z,2021-01-15T11:26:55Z,0.28983333333333333,28.901666666666667,33.88923192833333
2021-01-15T11:28:00Z,2021-01-15T11:27:55Z,0.27083333333333337,28.895,33.915329605000004
2021-01-15T11:29:00Z,2021-01-15T11:28:55Z,0.2823333333333333,28.93,33.88719495833333
2021-01-15T11:30:00Z,2021-01-15T11:29:55Z,0.279,29.058333333333334,33.80448818833333
2021-01-15T11:31:00Z,2021-01-15T11:30:55Z,0.2675,28.84,33.932501145
2021-01-15T11:32:00Z,2021-01-15T11:31:55Z,0.27016666666666667,28.873333333333335,33.917593125
2021-01-15T11:33:00Z,2021-01-15T11:32:55Z,0.2688333333333333,28.87,33.946278385
2021-01-15T11:34:00Z,2021-01-15T11:33:55Z,0.2771666666666667,28.878333333333334,33.946382146666664
2021-01-15T11:35:00Z,2021-01-15T11:34:55Z,0.27316666666666667,28.881666666666668,33.946204521666665
2021-01-15T11:36:00Z,2021-01-15T11:35:55Z,0.2745,28.88,33.93915431833333
2021-01-15T11:37:00Z,2021-01-15T11:36:55Z,0.28150000000000003,28.888333333333332,33.922812431666664
2021-01-15T11:38:00Z,2021-01-15T11:37:55Z,0.29283333333333333,28.891666666666666,33.912221349999996
2021-01-15T11:39:00Z,2021-01-15T11:38:55Z,0.25616666666666665,28.886666666666667,33.93002731166666
2021-01-15T11:40:00Z,2021-01-15T11:39:55Z,0.28983333333333333,28.895,33.939484105000005
2021-01-15T11:41:00Z,2021-01-15T11:40:55Z,0.28350000000000003,28.973333333333333,33.960767615
2021-01-15T11:42:00Z,2021-01-15T11:41:55Z,0.26466666666666666,29.06,33.95200209666667
2021-01-15T11:43:00Z,2021-01-15T11:42:55Z,0.2663333333333333,29.046666666666667,33.988478625
2021-01-15T11:44:00Z,2021-01-15T11:43:55Z,0.2981666666666667,29.025000000000002,33.99065485
2021-01-15T11:45:00Z,2021-01-15T11:44:55Z,0.27016666666666667,29.025000000000002,33.995609075000004
2021-01-15T11:46:00Z,2021-01-15T11:45:55Z,0.2753333333333333,29.011666666666667,34.019452038333334
2021-01-15T11:47:00Z,2021-01-15T11:46:55Z,0.31366666666666665,28.976666666666667,34.009054563333336
